date,season,year,month,hour,holiday,weekday,workingday,weather_condition,temperature,feeling_temperature,humidity,wind_speed,casual_rentals,registered_rentals,total_rentals,day_type
2011-01-01,1,0,1,0,0,5,0,1,3.2799999999999994,3.0014000000000003,81.0,0.0,3,13,16,Weekend
2011-01-01,1,0,1,1,0,5,0,1,2.34,1.9982000000000006,80.0,0.0,8,32,40,Weekend
2011-01-01,1,0,1,2,0,5,0,1,2.34,1.9982000000000006,80.0,0.0,5,27,32,Weekend
2011-01-01,1,0,1,3,0,5,0,1,3.2799999999999994,3.0014000000000003,75.0,0.0,3,10,13,Weekend
2011-01-01,1,0,1,4,0,5,0,1,3.2799999999999994,3.0014000000000003,75.0,0.0,0,1,1,Weekend
2011-01-01,1,0,1,5,0,5,0,2,3.2799999999999994,1.0015999999999998,75.0,6.0032,0,1,1,Weekend
2011-01-01,1,0,1,6,0,5,0,1,2.34,1.9982000000000006,80.0,0.0,2,0,2,Weekend
2011-01-01,1,0,1,7,0,5,0,1,1.4000000000000004,1.0015999999999998,86.0,0.0,1,2,3,Weekend
2011-01-01,1,0,1,8,0,5,0,1,3.2799999999999994,3.0014000000000003,75.0,0.0,1,7,8,Weekend
2011-01-01,1,0,1,9,0,5,0,1,7.040000000000001,7.000999999999998,76.0,0.0,8,6,14,Weekend
2011-01-01,1,0,1,10,0,5,0,1,9.86,9.997399999999999,76.0,16.997899999999998,12,24,36,Weekend
2011-01-01,1,0,1,11,0,5,0,1,8.919999999999998,5.997799999999998,81.0,19.0012,26,30,56,Weekend
2011-01-01,1,0,1,12,0,5,0,1,11.739999999999998,11.997200000000003,77.0,19.0012,29,55,84,Weekend
2011-01-01,1,0,1,13,0,5,0,2,13.620000000000001,13.997,72.0,19.999499999999998,47,47,94,Weekend
2011-01-01,1,0,1,14,0,5,0,2,13.620000000000001,13.997,72.0,19.0012,35,71,106,Weekend
2011-01-01,1,0,1,15,0,5,0,2,12.68,13.000399999999999,77.0,19.999499999999998,40,70,110,Weekend
2011-01-01,1,0,1,16,0,5,0,2,11.739999999999998,11.997200000000003,82.0,19.999499999999998,41,52,93,Weekend
2011-01-01,1,0,1,17,0,5,0,2,12.68,13.000399999999999,82.0,19.0012,15,52,67,Weekend
2011-01-01,1,0,1,18,0,5,0,3,11.739999999999998,11.997200000000003,88.0,16.997899999999998,9,26,35,Weekend
2011-01-01,1,0,1,19,0,5,0,3,11.739999999999998,11.997200000000003,88.0,16.997899999999998,6,31,37,Weekend
